  cell  ,E,W,N,S
"(34, 15)",0,1,1,1
"(35, 15)",1,0,1,0
"(36, 15)",1,1,0,1
"(37, 15)",1,1,1,0
"(38, 15)",1,1,0,0
"(39, 15)",1,1,0,1
"(40, 15)",0,0,1,1
"(41, 15)",1,1,1,1
"(42, 15)",0,1,1,0
"(43, 15)",1,1,0,1
"(44, 15)",1,1,1,0
"(45, 15)",1,0,0,1
"(46, 15)",0,1,1,1
"(47, 15)",1,0,1,1
"(48, 15)",1,1,1,0
"(49, 15)",1,1,0,1
"(50, 15)",1,0,1,0
"(51, 15)",0,1,0,1
"(52, 15)",1,0,1,1
"(53, 15)",1,0,1,1
"(54, 15)",1,1,1,0
"(55, 15)",0,1,0,1
"(56, 15)",1,1,1,1
"(57, 15)",1,0,1,0
"(58, 15)",1,0,0,1
"(59, 15)",1,1,1,1
"(60, 15)",1,1,1,0
"(1, 16)",1,1,0,0
"(2, 16)",1,1,0,0
"(3, 16)",1,1,0,1
"(4, 16)",1,1,1,1
"(5, 16)",0,0,1,1
"(6, 16)",1,1,1,1
"(7, 16)",1,0,1,1
"(8, 16)",0,1,1,0
"(9, 16)",1,0,0,1
"(10, 16)",0,1,1,1
"(11, 16)",1,1,1,1
"(12, 16)",1,1,1,0
"(13, 16)",0,1,0,1
"(14, 16)",1,1,1,0
"(15, 16)",0,1,0,1
"(16, 16)",1,1,1,1
"(17, 16)",1,0,1,1
"(18, 16)",1,0,1,1
"(19, 16)",1,1,1,0
"(20, 16)",1,1,0,1
"(21, 16)",1,0,1,1
"(22, 16)",1,1,1,1
"(23, 16)",1,1,1,0
"(24, 16)",1,1,0,1
"(25, 16)",0,1,1,1
"(26, 16)",1,1,1,0
"(27, 16)",1,1,0,1
"(28, 16)",1,1,1,1
"(29, 16)",0,0,1,1
"(30, 16)",1,1,1,0
"(31, 16)",1,1,0,1
"(32, 16)",0,0,1,1
"(33, 16)",0,0,1,1
"(34, 16)",1,0,1,0
"(35, 16)",0,1,0,1
"(36, 16)",1,1,1,0
"(37, 16)",0,1,0,1
"(38, 16)",0,1,1,1
"(39, 16)",1,1,1,0
"(40, 16)",1,0,0,1
"(41, 16)",1,1,1,1
"(42, 16)",1,0,1,1
"(43, 16)",1,1,1,0
"(44, 16)",1,1,0,1
"(45, 16)",1,1,1,1
"(46, 16)",1,0,1,1
"(47, 16)",1,1,1,0
"(48, 16)",1,1,0,0
"(49, 16)",1,1,0,0
"(50, 16)",0,1,0,1
"(51, 16)",0,0,1,1
"(52, 16)",1,1,1,0
"(53, 16)",1,1,0,0
"(54, 16)",1,1,0,0
"(55, 16)",1,0,0,1
"(56, 16)",0,1,1,0
"(57, 16)",1,1,0,1
"(58, 16)",0,1,1,0
"(59, 16)",1,1,0,0
"(60, 16)",1,1,0,0
"(1, 17)",1,1,0,1
"(2, 17)",0,1,1,1
"(3, 17)",1,1,1,0
"(4, 17)",0,1,0,1
"(5, 17)",1,0,1,1
"(6, 17)",1,1,1,0
"(7, 17)",1,1,0,1
"(8, 17)",1,0,1,1
"(9, 17)",0,1,1,1
"(10, 17)",1,0,1,1
"(11, 17)",1,1,1,0
"(12, 17)",1,1,0,1
"(13, 17)",1,0,1,1
"(14, 17)",1,1,1,0
"(15, 17)",1,0,0,1
"(16, 17)",1,1,1,0
"(17, 17)",1,1,0,0
"(18, 17)",1,1,0,0
"(19, 17)",1,1,0,0
"(20, 17)",1,1,0,0
"(21, 17)",1,1,0,0
"(22, 17)",1,1,0,0
"(23, 17)",1,1,0,1
"(24, 17)",0,1,1,0
"(25, 17)",1,0,0,1
"(26, 17)",0,1,1,1
"(27, 17)",1,1,1,0
"(28, 17)",0,1,0,1
"(29, 17)",1,0,1,1
"(30, 17)",0,1,1,1
"(31, 17)",1,1,1,1
"(32, 17)",1,0,1,0
"(33, 17)",1,0,0,1
"(34, 17)",0,1,1,1
"(35, 17)",1,0,1,1
"(36, 17)",0,1,1,1
"(37, 17)",0,0,1,1
"(38, 17)",1,0,1,1
"(39, 17)",0,1,1,1
"(40, 17)",0,1,1,0
"(41, 17)",1,1,0,0
"(42, 17)",1,1,0,0
"(43, 17)",1,1,0,1
"(44, 17)",1,1,1,0
"(45, 17)",1,1,0,0
"(46, 17)",1,1,0,0
"(47, 17)",1,1,0,0
"(48, 17)",1,1,0,1
"(49, 17)",0,1,1,0
"(50, 17)",0,0,0,1
"(51, 17)",1,0,1,1
"(52, 17)",0,1,1,1
"(53, 17)",1,1,1,1
"(54, 17)",0,1,1,1
"(55, 17)",1,1,1,1
"(56, 17)",1,0,1,1
"(57, 17)",0,1,1,1
"(58, 17)",1,0,1,1
"(59, 17)",1,1,1,1
"(60, 17)",1,1,1,0
"(1, 18)",0,1,0,1
"(2, 18)",1,0,1,1
"(3, 18)",0,1,1,1
"(4, 18)",0,0,1,1
"(5, 18)",1,1,1,0
"(6, 18)",1,1,0,1
"(7, 18)",0,1,1,0
"(8, 18)",0,1,0,1
"(9, 18)",1,0,1,0
"(10, 18)",1,1,0,0
"(11, 18)",0,1,0,1
"(12, 18)",1,1,1,0
"(13, 18)",1,1,0,0
"(14, 18)",1,1,0,1
"(15, 18)",1,1,1,0
"(16, 18)",1,1,0,1
"(17, 18)",0,1,1,1
"(18, 18)",0,1,1,1
"(19, 18)",0,1,1,1
"(20, 18)",1,1,1,1
"(21, 18)",0,1,1,1
"(22, 18)",1,1,1,1
"(23, 18)",0,1,1,1
"(24, 18)",0,0,1,1
"(25, 18)",1,1,1,0
"(26, 18)",1,0,0,1
"(27, 18)",1,1,1,1
"(28, 18)",1,0,1,1
"(29, 18)",1,1,1,0
"(30, 18)",1,0,0,1
"(31, 18)",1,1,1,0
"(32, 18)",0,1,0,1
"(33, 18)",1,1,1,1
"(34, 18)",1,0,1,1
"(35, 18)",0,1,1,1
"(36, 18)",0,0,1,1
"(37, 18)",1,0,1,1
"(38, 18)",0,1,1,1
"(39, 18)",1,0,1,1
"(40, 18)",0,0,1,0
"(41, 18)",1,1,0,0
"(42, 18)",1,1,0,1
"(43, 18)",1,1,1,0
"(44, 18)",0,1,0,1
"(45, 18)",1,1,1,0
"(46, 18)",1,1,0,1
"(47, 18)",1,1,1,1
"(48, 18)",1,1,1,1
"(49, 18)",1,0,1,0
"(50, 18)",1,0,0,1
"(51, 18)",1,1,1,0
"(52, 18)",1,0,0,1
"(53, 18)",0,1,1,1
"(54, 18)",1,0,1,1
"(55, 18)",1,1,1,0
"(56, 18)",1,1,0,1
"(57, 18)",1,0,1,1
"(58, 18)",1,1,1,0
"(59, 18)",1,1,0,0
"(60, 18)",1,1,0,0
"(1, 19)",1,0,0,1
"(2, 19)",0,1,1,1
"(3, 19)",1,0,1,0
"(4, 19)",1,0,0,1
"(5, 19)",0,1,1,1
"(6, 19)",0,1,1,1
"(7, 19)",1,0,1,0
"(8, 19)",0,0,0,1
"(9, 19)",1,1,1,0
"(10, 19)",1,1,0,1
"(11, 19)",0,0,1,1
"(12, 19)",1,1,1,1
"(13, 19)",1,1,1,1
"(14, 19)",0,1,1,0
"(15, 19)",1,1,0,1
"(16, 19)",1,1,1,1
"(17, 19)",1,0,1,0
"(18, 19)",1,0,0,1
"(19, 19)",1,0,1,1
"(20, 19)",0,1,1,1
"(21, 19)",1,0,1,1
"(22, 19)",1,1,1,1
"(23, 19)",0,0,1,1
"(24, 19)",1,0,1,1
"(25, 19)",0,1,1,1
"(26, 19)",1,1,1,0
"(27, 19)",1,1,0,0
"(28, 19)",1,1,0,0
"(29, 19)",1,1,0,1
"(30, 19)",0,1,1,0
"(31, 19)",1,1,0,1
"(32, 19)",1,0,1,1
"(33, 19)",1,1,1,0
"(34, 19)",1,1,0,1
"(35, 19)",1,0,1,0
"(36, 19)",1,0,0,1
"(37, 19)",0,1,1,1
"(38, 19)",1,0,1,1
"(39, 19)",1,1,1,1
"(40, 19)",1,0,1,1
"(41, 19)",1,1,1,1
"(42, 19)",0,1,1,0
"(43, 19)",1,1,0,0
"(44, 19)",1,0,0,1
"(45, 19)",0,1,1,1
"(46, 19)",1,1,1,0
"(47, 19)",1,1,0,0
"(48, 19)",1,1,0,0
"(49, 19)",0,1,0,1
"(50, 19)",1,1,1,0
"(51, 19)",1,1,0,1
"(52, 19)",1,1,1,0
"(53, 19)",0,0,0,1
"(54, 19)",1,1,1,0
"(55, 19)",0,1,0,1
"(56, 19)",1,1,1,0
"(57, 19)",1,1,0,0
"(58, 19)",1,1,0,0
"(59, 19)",1,1,0,1
"(60, 19)",0,1,1,0
"(1, 20)",0,1,0,1
"(2, 20)",1,0,1,0
"(3, 20)",1,1,0,1
"(4, 20)",0,1,1,1
"(5, 20)",1,0,1,0
"(6, 20)",1,0,0,1
"(7, 20)",0,1,1,1
"(8, 20)",1,0,1,0
"(9, 20)",1,1,0,1
"(10, 20)",0,1,1,1
"(11, 20)",1,0,1,1
"(12, 20)",0,1,1,0
"(13, 20)",1,1,0,1
"(14, 20)",1,0,1,1
"(15, 20)",1,1,1,0
"(16, 20)",1,1,0,0
"(17, 20)",0,1,0,1
"(18, 20)",1,1,1,0
"(19, 20)",1,1,0,1
"(20, 20)",1,0,1,0
"(21, 20)",1,1,0,0
"(22, 20)",1,1,0,0
"(23, 20)",1,0,0,1
"(24, 20)",1,1,1,1
"(25, 20)",1,0,1,1
"(26, 20)",0,1,1,1
"(27, 20)",1,1,1,1
"(28, 20)",0,1,1,1
"(29, 20)",1,1,1,1
"(30, 20)",0,0,1,1
"(31, 20)",1,1,1,0
"(32, 20)",1,1,0,0
"(33, 20)",0,1,0,1
"(34, 20)",1,1,1,0
"(35, 20)",0,1,0,1
"(36, 20)",1,1,1,1
"(37, 20)",0,0,1,0
"(38, 20)",1,1,0,0
"(39, 20)",1,1,0,0
"(40, 20)",1,1,0,0
"(41, 20)",0,1,0,1
"(42, 20)",1,0,1,0
"(43, 20)",1,1,0,1
"(44, 20)",0,1,1,1
"(45, 20)",1,0,1,1
"(46, 20)",1,1,1,1
"(47, 20)",1,1,1,1
"(48, 20)",1,1,1,0
"(49, 20)",1,0,0,1
"(50, 20)",1,1,1,1
"(51, 20)",0,1,1,0
"(52, 20)",1,1,0,1
"(53, 20)",1,0,1,1
"(54, 20)",1,1,1,1
"(55, 20)",1,0,1,1
"(56, 20)",0,1,1,1
"(57, 20)",1,1,1,1
"(58, 20)",1,1,1,1
"(59, 20)",1,1,1,1
"(60, 20)",1,0,1,0
"(1, 21)",1,0,0,1
"(2, 21)",0,1,1,1
"(3, 21)",1,1,1,1
"(4, 21)",0,0,1,1
"(5, 21)",0,1,1,1
"(6, 21)",1,1,1,1
"(7, 21)",1,0,1,1
"(8, 21)",0,1,1,1
"(9, 21)",0,1,1,1
"(10, 21)",1,0,1,0
"(11, 21)",1,1,0,1
"(12, 21)",1,0,1,1
"(13, 21)",0,1,1,0
"(14, 21)",1,1,0,0
"(15, 21)",1,1,0,1
"(16, 21)",1,1,1,1
"(17, 21)",1,0,1,1
"(18, 21)",0,1,1,1
"(19, 21)",1,1,1,0
"(20, 21)",0,1,0,1
"(21, 21)",0,1,1,1
"(22, 21)",1,1,1,1
"(23, 21)",1,1,1,0
"(24, 21)",1,1,0,0
"(25, 21)",1,1,0,1
"(26, 21)",1,0,1,0
"(27, 21)",1,1,0,0
"(28, 21)",1,0,0,1
"(29, 21)",0,1,1,1
"(30, 21)",1,0,1,1
"(31, 21)",1,1,1,0
"(32, 21)",0,1,0,1
"(33, 21)",1,0,1,1
"(34, 21)",0,1,1,1
"(35, 21)",1,0,1,1
"(36, 21)",0,1,1,1
"(37, 21)",1,0,1,1
"(38, 21)",1,1,1,0
"(39, 21)",1,1,0,1
"(40, 21)",0,1,1,1
"(41, 21)",1,0,1,1
"(42, 21)",0,1,1,1
"(43, 21)",1,1,1,1
"(44, 21)",1,0,1,1
"(45, 21)",1,1,1,0
"(46, 21)",1,1,0,0
"(47, 21)",1,1,0,0
"(48, 21)",1,1,0,1
"(49, 21)",1,1,1,0
"(50, 21)",0,1,0,1
"(51, 21)",0,0,1,1
"(52, 21)",1,1,1,0
"(53, 21)",1,1,0,0
"(54, 21)",1,1,0,0
"(55, 21)",1,1,0,1
"(56, 21)",0,0,1,1
"(57, 21)",1,1,1,0
"(58, 21)",0,1,0,0
"(59, 21)",1,1,0,0
"(60, 21)",1,1,0,0
"(1, 22)",1,1,0,1
"(2, 22)",1,0,1,0
"(3, 22)",1,1,0,1
"(4, 22)",1,0,1,1
"(5, 22)",1,0,1,1
"(6, 22)",1,1,1,0
"(7, 22)",1,1,0,1
"(8, 22)",0,0,1,1
"(9, 22)",1,0,1,1
"(10, 22)",0,1,1,1
"(11, 22)",1,1,1,0
"(12, 22)",1,1,0,1
"(13, 22)",1,0,1,1
"(14, 22)",0,1,1,1
"(15, 22)",1,1,1,0
"(16, 22)",1,1,0,0
"(17, 22)",1,1,0,1
"(18, 22)",1,0,1,0
"(19, 22)",0,1,0,1
"(20, 22)",1,0,1,1
"(21, 22)",0,0,1,1
"(22, 22)",1,1,1,0
"(23, 22)",1,1,0,1
"(24, 22)",0,1,1,1
"(25, 22)",1,1,1,0
"(26, 22)",0,1,0,1
"(27, 22)",1,1,1,1
"(28, 22)",1,1,1,0
"(29, 22)",1,0,0,1
"(30, 22)",1,1,1,0
"(31, 22)",0,1,0,1
"(32, 22)",1,0,1,0
"(33, 22)",1,1,0,1
"(34, 22)",1,0,1,1
"(35, 22)",0,1,1,1
"(36, 22)",1,0,1,1
"(37, 22)",0,1,1,0
"(38, 22)",1,1,0,1
"(39, 22)",0,1,1,1
"(40, 22)",1,0,1,1
"(41, 22)",0,1,1,1
"(42, 22)",0,0,1,1
"(43, 22)",1,1,1,0
"(44, 22)",1,1,0,0
"(45, 22)",1,1,0,1
"(46, 22)",0,1,1,1
"(47, 22)",1,1,1,1
"(48, 22)",1,1,1,0
"(49, 22)",1,1,0,1
"(50, 22)",1,0,1,0
"(51, 22)",1,0,0,1
"(52, 22)",0,1,1,1
"(53, 22)",0,1,1,1
"(54, 22)",1,1,1,1
"(55, 22)",1,1,1,1
"(56, 22)",0,0,1,1
"(57, 22)",1,1,1,1
"(58, 22)",0,0,1,1
"(59, 22)",0,1,1,1
"(60, 22)",1,1,1,0
"(1, 23)",1,1,0,0
"(2, 23)",0,1,0,1
"(3, 23)",1,1,1,0
"(4, 23)",1,1,0,0
"(5, 23)",0,1,0,0
"(6, 23)",1,1,0,1
"(7, 23)",0,1,1,1
"(8, 23)",1,0,1,1
"(9, 23)",0,1,1,1
"(10, 23)",1,0,1,1
"(11, 23)",0,1,1,1
"(12, 23)",1,1,1,0
"(13, 23)",1,1,0,1
"(14, 23)",0,0,1,1
"(15, 23)",1,1,1,1
"(16, 23)",0,1,1,1
"(17, 23)",1,1,1,0
"(18, 23)",1,1,0,0
"(19, 23)",1,0,0,1
"(20, 23)",1,1,1,1
"(21, 23)",1,0,1,1
"(22, 23)",1,1,1,1
"(23, 23)",0,1,1,1
"(24, 23)",1,0,1,1
"(25, 23)",0,1,1,1
"(26, 23)",0,0,1,1
"(27, 23)",1,1,1,0
"(28, 23)",1,1,0,1
"(29, 23)",0,1,1,0
"(30, 23)",1,1,0,1
"(31, 23)",0,0,1,1
"(32, 23)",1,1,1,1
"(33, 23)",0,1,1,0
"(34, 23)",1,1,0,1
"(35, 23)",1,0,1,1
"(36, 23)",1,1,1,1
"(37, 23)",0,0,1,1
"(38, 23)",1,1,1,0
"(39, 23)",1,0,0,1
"(40, 23)",1,1,1,1
"(41, 23)",0,0,1,1
"(42, 23)",1,0,1,1
"(43, 23)",0,1,1,1
"(44, 23)",1,1,1,1
"(45, 23)",1,1,1,0
"(46, 23)",1,0,0,1
"(47, 23)",0,1,1,0
"(48, 23)",0,1,0,1
"(49, 23)",1,1,1,0
"(50, 23)",1,1,0,1
"(51, 23)",1,1,1,1
"(52, 23)",1,0,1,1
"(53, 23)",1,0,1,1
"(54, 23)",0,1,1,0
"(55, 23)",0,1,0,1
"(56, 23)",1,0,1,1
"(57, 23)",1,1,1,1
"(58, 23)",0,0,1,1
"(59, 23)",0,0,1,1
"(60, 23)",1,1,1,0
"(1, 24)",1,1,0,1
"(2, 24)",0,0,1,1
"(3, 24)",1,1,1,1
"(4, 24)",0,1,1,1
"(5, 24)",1,0,1,1
"(6, 24)",0,1,1,1
"(7, 24)",1,0,1,1
"(8, 24)",1,1,1,1
"(9, 24)",1,0,1,1
"(10, 24)",1,1,1,1
"(11, 24)",1,0,1,1
"(12, 24)",0,1,1,1
"(13, 24)",0,1,1,1
"(14, 24)",1,0,1,1
"(15, 24)",0,1,1,1
"(16, 24)",1,0,1,1
"(17, 24)",1,1,1,0
"(18, 24)",1,1,0,1
"(19, 24)",1,1,1,0
"(20, 24)",1,1,0,0
"(21, 24)",1,1,0,0
"(22, 24)",1,1,0,0
"(23, 24)",1,0,0,1
"(24, 24)",0,1,1,1
"(25, 24)",0,0,1,1
"(26, 24)",0,0,1,1
"(27, 24)",1,1,1,0
"(28, 24)",1,1,0,0
"(29, 24)",1,0,0,1
"(30, 24)",1,1,1,1
"(31, 24)",1,0,1,1
"(32, 24)",0,1,1,1
"(33, 24)",1,0,1,1
"(34, 24)",0,1,1,0
"(35, 24)",1,1,0,0
"(36, 24)",1,1,0,1
"(37, 24)",0,0,1,1
"(38, 24)",0,1,1,1
"(39, 24)",1,1,1,0
"(40, 24)",1,1,0,0
"(41, 24)",1,0,0,1
"(42, 24)",1,1,1,0
"(43, 24)",1,0,0,1
"(44, 24)",1,1,1,0
"(45, 24)",1,1,0,1
"(46, 24)",1,1,1,1
"(47, 24)",0,0,1,1
"(48, 24)",1,0,1,0
"(49, 24)",1,1,0,0
"(50, 24)",1,1,0,0
"(51, 24)",0,1,0,0
"(52, 24)",1,1,0,0
"(53, 24)",1,1,0,1
"(54, 24)",0,0,1,1
"(55, 24)",0,0,1,1
"(56, 24)",1,1,1,0
"(57, 24)",1,1,0,1
"(58, 24)",0,0,1,1
"(59, 24)",1,0,1,1
"(60, 24)",1,1,1,0
"(1, 25)",0,1,0,1
"(2, 25)",1,0,1,1
"(3, 25)",0,1,1,1
"(4, 25)",1,0,1,1
"(5, 25)",0,1,1,1
"(6, 25)",1,0,1,1
"(7, 25)",1,1,1,0
"(8, 25)",1,1,0,0
"(9, 25)",1,1,0,0
"(10, 25)",1,1,0,0
"(11, 25)",1,1,0,1
"(12, 25)",1,0,1,0
"(13, 25)",1,0,0,1
"(14, 25)",1,1,1,0
"(15, 25)",1,0,0,1
"(16, 25)",1,1,1,0
"(17, 25)",1,1,0,1
"(18, 25)",0,1,1,0
"(19, 25)",0,1,0,1
"(20, 25)",1,1,1,1
"(21, 25)",0,1,1,1
"(22, 25)",1,1,1,1
"(23, 25)",0,1,1,1
"(24, 25)",0,0,1,1
"(25, 25)",0,0,1,1
"(26, 25)",1,0,1,1
"(27, 25)",1,1,1,1
"(28, 25)",1,1,1,1
"(29, 25)",1,1,1,0
"(30, 25)",1,1,0,0
"(31, 25)",1,1,0,1
"(32, 25)",0,0,1,1
"(33, 25)",1,1,1,1
"(34, 25)",0,0,1,1
"(35, 25)",1,1,1,1
"(36, 25)",1,1,1,0
"(37, 25)",0,0,0,1
"(38, 25)",1,0,1,1
"(39, 25)",1,1,1,0
"(40, 25)",1,1,0,1
"(41, 25)",1,1,1,0
"(42, 25)",1,1,0,1
"(43, 25)",0,1,1,0
"(44, 25)",1,1,0,1
"(45, 25)",0,1,1,0
"(46, 25)",1,1,0,1
"(47, 25)",1,0,1,1
"(48, 25)",0,1,1,1
"(49, 25)",0,1,1,1
"(50, 25)",1,1,1,1
"(51, 25)",1,0,1,1
"(52, 25)",0,1,1,1
"(53, 25)",0,1,1,1
"(54, 25)",1,0,1,1
"(55, 25)",0,0,1,1
"(56, 25)",1,1,1,1
"(57, 25)",0,1,1,1
"(58, 25)",0,0,1,1
"(59, 25)",1,1,1,0
"(60, 25)",1,1,0,0
"(1, 26)",1,0,0,1
"(2, 26)",1,1,1,0
"(3, 26)",1,0,0,1
"(4, 26)",0,1,1,0
"(5, 26)",1,0,0,1
"(6, 26)",0,1,1,0
"(7, 26)",0,1,0,1
"(8, 26)",1,1,1,1
"(9, 26)",0,1,1,1
"(10, 26)",1,1,1,1
"(11, 26)",1,1,1,0
"(12, 26)",1,1,0,1
"(13, 26)",0,1,1,0
"(14, 26)",1,1,0,1
"(15, 26)",1,1,1,0
"(16, 26)",1,1,0,0
"(17, 26)",1,1,0,1
"(18, 26)",1,0,1,1
"(19, 26)",0,0,1,1
"(20, 26)",1,1,1,0
"(21, 26)",0,0,0,1
"(22, 26)",1,1,1,1
"(23, 26)",1,0,1,0
"(24, 26)",1,0,0,1
"(25, 26)",1,0,1,0
"(26, 26)",1,1,0,0
"(27, 26)",1,1,0,0
"(28, 26)",1,1,0,0
"(29, 26)",1,1,0,1
"(30, 26)",0,1,1,1
"(31, 26)",0,1,1,1
"(32, 26)",1,0,1,0
"(33, 26)",1,1,0,1
"(34, 26)",0,0,1,1
"(35, 26)",1,1,1,0
"(36, 26)",1,1,0,1
"(37, 26)",1,0,1,1
"(38, 26)",0,1,1,0
"(39, 26)",1,1,0,1
"(40, 26)",1,1,1,0
"(41, 26)",1,1,0,1
"(42, 26)",1,1,1,1
"(43, 26)",0,0,1,0
"(44, 26)",1,1,0,1
"(45, 26)",0,0,1,1
"(46, 26)",1,1,1,0
"(47, 26)",0,1,0,1
"(48, 26)",1,0,1,1
"(49, 26)",0,0,1,1
"(50, 26)",1,1,1,0
"(51, 26)",0,1,0,1
"(52, 26)",1,0,1,1
"(53, 26)",0,0,1,1
"(54, 26)",0,1,1,1
"(55, 26)",0,0,1,1
"(56, 26)",1,1,1,1
"(57, 26)",0,0,1,1
"(58, 26)",1,0,1,1
"(59, 26)",1,1,1,0
"(60, 26)",1,1,0,0
"(1, 27)",1,1,0,0
"(2, 27)",1,1,0,1
"(3, 27)",0,1,1,1
"(4, 27)",1,0,1,1
"(5, 27)",1,1,1,0
"(6, 27)",1,0,0,1
"(7, 27)",0,0,1,1
"(8, 27)",1,1,1,0
"(9, 27)",1,0,0,1
"(10, 27)",1,1,1,0
"(11, 27)",1,1,0,1
"(12, 27)",0,1,1,1
"(13, 27)",1,0,1,0
"(14, 27)",1,1,0,0
"(15, 27)",1,1,0,1
"(16, 27)",1,1,1,1
"(17, 27)",1,1,1,0
"(18, 27)",1,1,0,1
"(19, 27)",1,0,1,0
"(20, 27)",1,1,0,1
"(21, 27)",1,0,1,1
"(22, 27)",0,1,1,0
"(23, 27)",1,1,0,1
"(24, 27)",0,1,1,0
"(25, 27)",0,1,0,1
"(26, 27)",1,1,1,0
"(27, 27)",1,1,0,0
"(28, 27)",1,1,0,1
"(29, 27)",1,1,1,1
"(30, 27)",0,0,1,1
"(31, 27)",1,0,1,1
"(32, 27)",0,1,1,1
"(33, 27)",1,1,1,1
"(34, 27)",1,0,1,0
"(35, 27)",0,1,0,1
"(36, 27)",1,1,1,0
"(37, 27)",1,1,0,0
"(38, 27)",1,0,0,1
"(39, 27)",0,1,1,0
"(40, 27)",1,1,0,0
"(41, 27)",1,1,0,0
"(42, 27)",1,1,0,1
"(43, 27)",1,0,1,1
"(44, 27)",1,1,1,0
"(45, 27)",1,0,0,1
"(46, 27)",0,1,1,0
"(47, 27)",0,0,0,1
"(48, 27)",1,1,1,1
"(49, 27)",1,0,1,1
"(50, 27)",1,1,1,0
"(51, 27)",1,0,0,1
"(52, 27)",0,1,1,1
"(53, 27)",1,0,1,1
"(54, 27)",0,0,1,1
"(55, 27)",1,0,1,0
"(56, 27)",1,1,0,1
"(57, 27)",1,0,1,1
"(58, 27)",0,1,1,0
"(59, 27)",0,1,0,1
"(60, 27)",1,1,1,0
"(1, 28)",1,1,0,0
"(2, 28)",1,1,0,1
"(3, 28)",0,0,1,1
"(4, 28)",1,1,1,0
"(5, 28)",1,1,0,1
"(6, 28)",1,1,1,1
"(7, 28)",1,0,1,1
"(8, 28)",1,1,1,1
"(9, 28)",0,1,1,0
"(10, 28)",1,1,0,1
"(11, 28)",1,1,1,0
"(12, 28)",1,0,0,1
"(13, 28)",1,1,1,1
"(14, 28)",0,1,1,1
"(15, 28)",1,1,1,0
"(16, 28)",1,1,0,0
"(17, 28)",1,1,0,1
"(18, 28)",0,1,1,0
"(19, 28)",1,1,0,1
"(20, 28)",0,1,1,0
"(21, 28)",1,1,0,1
"(22, 28)",0,0,1,1
"(23, 28)",1,1,1,1
"(24, 28)",1,0,1,1
"(25, 28)",1,0,1,0
"(26, 28)",1,1,0,1
"(27, 28)",0,1,1,1
"(28, 28)",1,1,1,0
"(29, 28)",0,1,0,1
"(30, 28)",1,0,1,1
"(31, 28)",0,1,1,1
"(32, 28)",0,0,1,1
"(33, 28)",1,1,1,0
"(34, 28)",0,1,0,1
"(35, 28)",1,0,1,1
"(36, 28)",0,1,1,1
"(37, 28)",1,1,1,1
"(38, 28)",0,1,1,1
"(39, 28)",1,0,1,0
"(40, 28)",0,1,0,1
"(41, 28)",1,1,1,1
"(42, 28)",1,1,1,0
"(43, 28)",1,1,0,0
"(44, 28)",0,1,0,1
"(45, 28)",1,1,1,1
"(46, 28)",1,0,1,1
"(47, 28)",0,0,1,1
"(48, 28)",1,1,1,0
"(49, 28)",1,1,0,0
"(50, 28)",0,1,0,1
"(51, 28)",1,1,1,1
"(52, 28)",0,0,1,1
"(53, 28)",1,1,1,0
"(54, 28)",1,0,0,1
"(55, 28)",0,1,1,1
"(56, 28)",1,1,1,0
"(57, 28)",1,1,0,1
"(58, 28)",0,0,1,1
"(59, 28)",1,0,1,1
"(60, 28)",0,1,1,0
"(1, 29)",1,1,0,1
"(2, 29)",1,1,1,1
"(3, 29)",1,0,1,0
"(4, 29)",1,1,0,1
"(5, 29)",1,1,1,0
"(6, 29)",1,1,0,0
"(7, 29)",1,1,0,0
"(8, 29)",1,1,0,1
"(9, 29)",1,0,1,1
"(10, 29)",1,1,1,0
"(11, 29)",1,1,0,1
"(12, 29)",1,1,1,0
"(13, 29)",0,1,0,1
"(14, 29)",1,0,1,0
"(15, 29)",1,1,0,0
"(16, 29)",1,1,0,0
"(17, 29)",1,1,0,1
"(18, 29)",0,0,1,1
"(19, 29)",0,1,1,1
"(20, 29)",1,0,1,1
"(21, 29)",1,1,1,0
"(22, 29)",1,0,0,1
"(23, 29)",1,1,1,0
"(24, 29)",1,1,0,0
"(25, 29)",0,1,0,1
"(26, 29)",1,1,1,1
"(27, 29)",1,0,1,1
"(28, 29)",1,1,1,0
"(29, 29)",1,0,0,1
"(30, 29)",0,1,1,1
"(31, 29)",0,0,1,1
"(32, 29)",1,0,1,1
"(33, 29)",1,1,1,1
"(34, 29)",1,0,1,1
"(35, 29)",0,1,1,1
"(36, 29)",0,0,1,1
"(37, 29)",1,1,1,1
"(38, 29)",0,0,1,1
"(39, 29)",1,1,1,0
"(40, 29)",1,0,0,1
"(41, 29)",1,1,1,0
"(42, 29)",1,1,0,1
"(43, 29)",0,1,1,1
"(44, 29)",1,0,1,1
"(45, 29)",1,1,1,0
"(46, 29)",1,1,0,1
"(47, 29)",1,0,1,0
"(48, 29)",1,1,0,1
"(49, 29)",1,1,1,1
"(50, 29)",0,0,1,1
"(51, 29)",1,1,1,0
"(52, 29)",1,0,0,1
"(53, 29)",1,1,1,1
"(54, 29)",0,1,1,1
"(55, 29)",1,0,1,0
"(56, 29)",1,1,0,1
"(57, 29)",0,1,1,1
"(58, 29)",1,0,1,1
"(59, 29)",0,1,1,1
"(60, 29)",1,0,1,0
"(1, 30)",1,1,0,0
"(2, 30)",1,1,0,0
"(3, 30)",1,1,0,1
"(4, 30)",0,1,1,0
"(5, 30)",1,1,0,1
"(6, 30)",0,1,1,1
"(7, 30)",1,1,1,1
